en,pos,kind
turnover,n,words
twist,v,words
unconstitutional,adj,words
undergraduate,n,words
underlying,adj,words
undermine,v,words
undoubtedly,adv,words
unify,v,words
unprecedented,adj,words
unveil,v,words
upcoming,adj,words
upgrade,v,words
uphold,v,words
utility,n,words
utilise,v,words
utterly,adv,words
vacuum,n,words
vague,adj,words
validity,n,words
vanish,v,words
variable,n,words
variable,adj,words
varied,adj,words
vein,n,words
venture,n,words
verbal,adj,words
verdict,n,words
verify,v,words
verse,n,words
versus,prep,words
vessel,n,words
veteran,n,words
viable,adj,words
vibrant,adj,words
vice,n,words
vicious,adj,words
violate,v,words
violation,n,words
virtue,n,words
vocal,adj,words
vow,v,words
vulnerability,n,words
vulnerable,adj,words
ward,n,words
warehouse,n,words
warfare,n,words
warrant,n,words
warrant,v,words
warrior,n,words
weaken,v,words
weave,v,words
weed,n,words
well,n,words
well-being,n,words
whatsoever,adv,words
whip,v,words
wholly,adv,words
widen,v,words
width,n,words
willingness,n,words
wipe,v,words
wit,n,words
withdrawal,n,words
workout,n,words
worship,n,words
worship,v,words
worthwhile,adj,words
worthy,adj,words
wrongdoing,n,words
yield,v,words
add up to something,phr,phrasal
ask around,phr,phrasal
ask somebody out,phr,phrasal
back something up,phr,phrasal
back somebody up,phr,phrasal
blow up,phr,phrasal
blow something up,phr,phrasal
break down,phr,phrasal
break down,phr2,phrasal
break something down,phr,phrasal
break in,phr,phrasal
break into something,phr,phrasal
break something in,phr,phrasal
break in,phr2,phrasal
break up,phr,phrasal
break up,phr2,phrasal
break out,phr,phrasal
break out in something,phr,phrasal
bring somebody down,phr,phrasal
bring somebody up,phr,phrasal
bring something up,phr,phrasal
bring something up,phr2,phrasal
call around,phr,phrasal
call somebody back,phr,phrasal
call something off,phr,phrasal
call on somebody,phr,phrasal
call on somebody,phr2,phrasal
call somebody up,phr,phrasal
calm down,phr,phrasal
not care for somebody/ something,phr,phrasal
catch up,phr,phrasal
check in,phr,phrasal
check out,phr,phrasal
check somebody/ something out,phr,phrasal
check out somebody/ something,phr,phrasal
cheer up,phr,phrasal
cheer somebody up,phr,phrasal
chip in,phr,phrasal
clean something up,phr,phrasal
come across something,phr,phrasal
come apart,phr,phrasal
come down with something,phr,phrasal
come forward,phr,phrasal
come from some place,phr,phrasal
count on somebody/ something,phr,phrasal
cross something out,phr,phrasal
cut back on something,phr,phrasal
cut something down,phr,phrasal
cut in,phr,phrasal
cut in,phr2,phrasal
cut in,phr3,phrasal
cut something off,phr,phrasal
cut something off,phr2,phrasal
cut somebody off,phr,phrasal
cut something out,phr,phrasal
do somebody/ something over,phr,phrasal
do something over,phr,phrasal
do away with something,phr,phrasal
do something up,phr,phrasal
dress up,phr,phrasal
drop back,phr,phrasal
drop in/ by/ over,phr,phrasal
drop somebody/ something off,phr,phrasal
drop out,phr,phrasal
eat out,phr,phrasal
end up,phr,phrasal
fall apart,phr,phrasal
fall down,phr,phrasal
fall out,phr,phrasal
fall out,phr2,phrasal
figure something out,phr,phrasal
fill something in,phr,phrasal
fill something out,phr,phrasal
fill something up,phr,phrasal
find out,phr,phrasal
find something out,phr,phrasal
get something across/ over,phr,phrasal
get along/on,phr,phrasal
get around,phr,phrasal
get away,phr,phrasal
get away with something,phr,phrasal
get back,phr,phrasal
get something back,phr,phrasal
get back at somebody,phr,phrasal
get back into something,phr,phrasal
get on something,phr,phrasal
get over something,phr,phrasal
get over something,phr2,phrasal
get round to something,phr,phrasal
get together,phr,phrasal
get up,phr,phrasal
get up,phr2,phrasal
give somebody away,phr,phrasal
give somebody away,phr2,phrasal
give something away,phr,phrasal
give something away,phr2,phrasal
give something back,phr,phrasal
give in,phr,phrasal
give something out,phr,phrasal
give something up,phr,phrasal
give up,phr,phrasal
go after somebody,phr,phrasal
go after something,phr,phrasal
go against somebody,phr,phrasal
go ahead,phr,phrasal
go back,phr,phrasal
go out,phr,phrasal
go out with somebody,phr,phrasal
go over something,phr,phrasal
go over,phr,phrasal
go without something,phr,phrasal
grow apart,phr,phrasal
grow back,phr,phrasal
grow into something,phr,phrasal
grow out of something,phr,phrasal
grow up,phr,phrasal
hand something down,phr,phrasal
hand something in,phr,phrasal
hand something out,phr,phrasal
hand something over,phr,phrasal
hang in,phr,phrasal
hang on,phr,phrasal
hang out,phr,phrasal
hang up,phr,phrasal
hold somebody/ something back,phr,phrasal
hold something back,phr,phrasal
hold on,phr,phrasal
hold onto somebody/ something,phr,phrasal
hold somebody/ something up,phr,phrasal
keep on doing something,phr,phrasal
keep something from somebody,phr,phrasal
keep somebody/ something out,phr,phrasal
keep something up,phr,phrasal
let somebody down,phr,phrasal
let somebody in,phr,phrasal
log in (or on),phr,phrasal
log out (or off),phr,phrasal
look after somebody/ something,phr,phrasal
look down on somebody,phr,phrasal
look for somebody/ something,phr,phrasal
look forward to something,phr,phrasal
look into something,phr,phrasal
look out,phr,phrasal
look out for somebody/ something,phr,phrasal
look something over,phr,phrasal
look something up,phr,phrasal
look up to somebody,phr,phrasal
make something up,phr,phrasal
make up,phr,phrasal
make somebody up,phr,phrasal
mix something up,phr,phrasal
pass away,phr,phrasal
pass out,phr,phrasal
pass something out,phr,phrasal
pass something up,phr,phrasal
pay somebody back,phr,phrasal
pay for something,phr,phrasal
pick something out,phr,phrasal
point somebody/ something out,phr,phrasal
put something down,phr,phrasal
put somebody down,phr,phrasal
put something off,phr,phrasal
put something out,phr,phrasal
put something together,phr,phrasal
put up with somebody/ something,phr,phrasal
put something on,phr,phrasal
run into somebody/ something,phr,phrasal
run over somebody/ something,phr,phrasal
run over/ through something,phr,phrasal
run away,phr,phrasal
run out,phr,phrasal
send something back,phr,phrasal
set something up,phr,phrasal
set somebody up,phr,phrasal
shop around,phr,phrasal
show off,phr,phrasal
sleep over,phr,phrasal
sort something out,phr,phrasal
stick to something,phr,phrasal
switch something off,phr,phrasal
switch something on,phr,phrasal
take after somebody,phr,phrasal
take something apart,phr,phrasal
take something back,phr,phrasal
take off,phr,phrasal
take something off,phr,phrasal
take something out,phr,phrasal
take somebody out,phr,phrasal
tear something up,phr,phrasal
think back,phr,phrasal
think something over,phr,phrasal
throw something away,phr,phrasal
turn something down,phr,phrasal
turn something down,phr2,phrasal
turn something off,phr,phrasal
turn something on,phr,phrasal
turn something up,phr,phrasal
turn up,phr,phrasal
try something on,phr,phrasal
try something out,phr,phrasal
use something up,phr,phrasal
wake up,phr,phrasal
warm somebody/ something up,phr,phrasal
warm up,phr,phrasal
wear off,phr,phrasal
work out,phr,phrasal
work out,phr2,phrasal
work something out,phr,phrasal
