en,pos,tr,ex_en,ex_tr,note
combat,n,"бой, борьба",,,
combat,v,"бороться, сражаться",,,
commence,v,начинать(ся),,,
commentary,n,"комментарий, репортаж",,,
commentator,n,комментатор,,,
commerce,n,"коммерция, торговля",,,
commissioner,n,"комиссар, уполномоченный",,,
commodity,n,"товар, сырьё",,,
communist,n,коммунист,,,
communist,adj,коммунистический,,,
companion,n,"спутник, компаньон",,,
comparable,adj,сопоставимый,,,
compassion,n,сострадание,,,
compel,v,вынуждать,,,
compelling,adj,"убедительный, захватывающий",,,
compensate,v,"возмещать, компенсировать",,,
compensation,n,компенсация,,,
competence,n,компетентность,,,
competent,adj,компетентный,,,
compile,v,"составлять, компилировать",,,
complement,n,дополнение,,,
complement,v,дополнять,,,
complexity,n,сложность,,,
compliance,n,"соблюдение, соответствие",,,
complication,n,осложнение,,,
comply,v,"соблюдать, подчиняться",,,
composition,n,"композиция, сочинение",,,
comprise,v,"включать в себя, состоять из",,,
compromise,n,компромисс,,,
compromise,v,идти на компромисс,,,
compute,v,вычислять,,,
conceal,v,скрывать,,,
concede,v,"уступать, признавать",,,
conceive,v,"задумывать, зачинать",,,
conception,n,"замысел, зачатие",,,
concession,n,"уступка, концессия",,,
condemn,v,осуждать,,,
confer,v,"совещаться, присуждать",,,
confession,n,"признание, исповедь",,,
configuration,n,конфигурация,,,
confine,v,"ограничивать, заключать",,,
confirmation,n,подтверждение,,,
confront,v,"противостоять, сталкиваться",,,
confrontation,n,противостояние,,,
congratulate,v,поздравлять,,,
congregation,n,"приход, паства",,,
congressional,adj,конгрессный,,,
conquer,v,завоёвывать,,,
conscience,n,совесть,,,
consciously,adv,сознательно,,,
consciousness,n,сознание,,,
consecutive,adj,"последовательный, идущий подряд",,,
consensus,n,"консенсус, согласие",,,
consent,n,согласие,,,
consent,v,соглашаться,,,
conserve,v,"охранять, беречь",,,
consistency,n,последовательность,,,
consolidate,v,"укреплять, объединять",,,
consolidation,n,"укрепление, объединение",,,
constitute,v,"составлять, представлять собой",,,
constitution,n,конституция,,,
constitutional,adj,конституционный,,,
constraint,n,ограничение,,,
consultation,n,консультация,,,
contemplate,v,"обдумывать, созерцать",,,
contempt,n,"презрение, неуважение",,,
contend,v,"бороться, утверждать",,,
contender,n,претендент,,,
content,adj,довольный,,,
contention,n,"спор, утверждение",,,
continually,adv,"непрерывно, постоянно",,,
contractor,n,подрядчик,,,
contradiction,n,противоречие,,,
contrary,adj,противоположный,,,
contrary,n,противоположность,,,
contributor,n,"участник, автор",,,
conversion,n,преобразование,,,
convict,n,осуждённый,,,
convict,v,"осуждать, признавать виновным",,,
conviction,n,"убеждение, осуждение",,,
cooperate,v,сотрудничать,,,
cooperative,adj,"совместный, кооперативный",,,
coordinate,v,координировать,,,
coordination,n,координация,,,
coordinator,n,координатор,,,
copyright,n,авторское право,,,
correction,n,исправление,,,
correlate,v,соотносить(ся),,,
correlation,n,"корреляция, взаимосвязь",,,
correspond,v,"соответствовать, переписываться",,,
correspondence,n,"переписка, соответствие",,,
correspondent,n,корреспондент,,,
corresponding,adj,соответствующий,,,
correspondingly,adv,соответственно,,,
corrupt,adj,коррумпированный,,,
corruption,n,коррупция,,,
costly,adj,дорогостоящий,,,
councillor,n,депутат (совета),,,
counselling,n,"консультирование, психотерапия",,,
counsellor,n,"консультант, советник",,,
counter,v,"противостоять, возражать",,,
counterpart,n,"аналог, коллега",,,
countless,adj,бесчисленный,,,
coup,n,переворот,,,
courtesy,n,"вежливость, услуга",,,
craft,n,"ремесло, мастерство",,,
craft,v,"изготавливать, тщательно создавать",,,
crawl,v,ползти,,,
creator,n,создатель,,,
credibility,n,"доверие, достоверность",,,
credible,adj,заслуживающий доверия,,,
creep,v,"ползти, подкрадываться",,,
criterion,n,критерий,,,
critique,n,"критика, разбор",,,
crown,n,корона,,,
crude,adj,"сырой, грубый",,,
crush,v,"давить, сокрушать",,,
crystal,n,кристалл,,,
cult,n,культ,,,
cultivate,v,"культивировать, возделывать",,,
curiosity,n,любопытство,,,
custody,n,"опека, заключение под стражу",,,
cutting,n,"вырезка, черенок",,,
cutting,adj,"режущий, едкий",,,
cynical,adj,циничный,,,
dam,n,плотина,,,
damaging,adj,"пагубный, разрушительный",,,
dawn,n,рассвет,,,
debris,n,"обломки, мусор",,,
debut,n,дебют,,,
decision-making,n,принятие решений,,,
decisive,adj,"решающий, решительный",,,
declaration,n,"декларация, заявление",,,
dedicated,adj,"преданный, специализированный",,,
dedication,n,"преданность, посвящение",,,
deed,n,"дело, поступок",,,
deem,v,"считать, полагать",,,
default,n,"неуплата, значение по умолчанию",,,
defect,n,"дефект, недостаток",,,
defensive,adj,оборонительный,,,
deficiency,n,"нехватка, дефицит",,,
deficit,n,дефицит,,,
definitive,adj,"окончательный, исчерпывающий",,,
defy,v,бросать вызов,,,
delegate,n,делегат,,,
delegation,n,делегация,,,
delicate,adj,"тонкий, деликатный",,,
demon,n,демон,,,
denial,n,"отрицание, отказ",,,
denounce,v,"осуждать, разоблачать",,,
dense,adj,"плотный, густой",,,
density,n,плотность,,,
dependence,n,зависимость,,,
depict,v,изображать,,,
deploy,v,развёртывать,,,
deployment,n,развёртывание,,,
deprive,v,лишать,,,
deputy,n,"заместитель, депутат",,,
descend,v,спускаться,,,
descent,n,"спуск, происхождение",,,
designate,v,"назначать, обозначать",,,
desirable,adj,желательный,,,
destructive,adj,разрушительный,,,
detain,v,задерживать,,,
detection,n,обнаружение,,,
detention,n,задержание,,,
deteriorate,v,ухудшаться,,,
devastate,v,"опустошать, разрушать",,,
devise,v,"разрабатывать, изобретать",,,
diagnose,v,диагностировать,,,
diagnosis,n,диагноз,,,
dictate,v,"диктовать, предписывать",,,
dictator,n,диктатор,,,
differentiate,v,"различать, дифференцировать",,,
dignity,n,достоинство,,,
dilemma,n,дилемма,,,
dimension,n,"измерение, аспект",,,
diminish,v,уменьшать(ся),,,
dip,v,"окунать, погружать",,,
diplomat,n,дипломат,,,
diplomatic,adj,дипломатичный,,,
directory,n,"справочник, каталог",,,
disastrous,adj,катастрофический,,,
discard,v,"отбрасывать, избавляться",,,
discharge,v,"выписывать, увольнять, разряжать",,,
disclose,v,"раскрывать, разглашать",,,
disclosure,n,"раскрытие, разглашение",,,
discourse,n,"дискурс, речь",,,
discretion,n,"усмотрение, осторожность",,,
discrimination,n,дискриминация,,,
disregard,v,"пренебрегать, игнорировать",,,
dismissal,n,"увольнение, отклонение",,,
displace,v,"вытеснять, перемещать",,,
disposal,n,"распоряжение, утилизация",,,
dispose of,v,избавляться от,,,
dispute,n,спор,,,
dispute,v,оспаривать,,,
disrupt,v,"срывать, нарушать",,,
disruption,n,"срыв, нарушение",,,
dissolve,v,"растворять(ся), распускать",,,
distinction,n,"различие, отличие",,,
distinctive,adj,"характерный, самобытный",,,
distort,v,искажать,,,
distress,n,"страдание, бедствие",,,
disturbing,adj,тревожный,,,
divert,v,"отвлекать, перенаправлять",,,
divine,adj,божественный,,,
doctrine,n,доктрина,,,
documentation,n,документация,,,
domain,n,"область, домен",,,
dominance,n,господство,,,
donor,n,донор,,,
dose,n,доза,,,
drawback,n,недостаток,,,
drain,v,"осушать, истощать",,,
drift,v,дрейфовать,,,
drown,v,"тонуть, топить",,,
dual,adj,двойной,,,
dub,v,"окрестить, дублировать",,,
dumb,adj,"немой, глупый",,,
duo,n,дуэт,,,
earnings,n,заработок,,,
ease,n,лёгкость,,,
ease,v,"облегчать, ослаблять",,,
echo,n,"эхо, отголосок",,,
echo,v,"отражаться, повторять",,,
ecological,adj,экологический,,,
educator,n,педагог,,,
effectiveness,n,эффективность,,,
efficiency,n,"производительность, эффективность",,,
ego,n,"эго, самомнение",,,
elaborate,adj,тщательно проработанный,,,
electoral,adj,избирательный,,,
elevate,v,"поднимать, возвышать",,,
eligible,adj,имеющий право,,,
elite,n,элита,,,
embark,v,"начинать, отправляться",,,
embarrassment,n,смущение,,,
embassy,n,посольство,,,
embed,v,"встраивать, внедрять",,,
embody,v,воплощать,,,
emergence,n,"возникновение, появление",,,
empirical,adj,эмпирический,,,
empower,v,наделять полномочиями,,,
enact,v,"принимать (закон), вводить",,,
encompass,v,охватывать,,,
encouragement,n,ободрение,,,
encouraging,adj,обнадёживающий,,,
endeavour,n,"усилие, начинание",,,
endless,adj,бесконечный,,,
endorse,v,"одобрять, поддерживать",,,
endorsement,n,"поддержка, одобрение",,,
endure,v,"выдерживать, терпеть",,,
enforce,v,"обеспечивать соблюдение, принуждать",,,
enforcement,n,"принуждение, правоприменение",,,
engagement,n,"вовлечённость, помолвка",,,
engaging,adj,увлекательный,,,
enrich,v,обогащать,,,
enrol,v,"записывать(ся), зачислять",,,
enterprise,n,предприятие,,,
enthusiast,n,энтузиаст,,,
entitle,v,"давать право, озаглавливать",,,
entity,n,"субъект, сущность",,,
epidemic,n,эпидемия,,,
equality,n,равенство,,,
equation,n,уравнение,,,
erect,v,"возводить, сооружать",,,
escalate,v,"эскалировать, нарастать",,,
escort,n,"сопровождение, эскорт",,,
escort,v,сопровождать,,,
essence,n,суть,,,
establishment,n,"учреждение, истеблишмент",,,
eternal,adj,вечный,,,
evacuate,v,эвакуировать,,,
evoke,v,"вызывать, пробуждать",,,
evolutionary,adj,эволюционный,,,
exaggerate,v,преувеличивать,,,
excellence,n,"совершенство, высокое качество",,,
exceptional,adj,исключительный,,,
excess,n,избыток,,,
exclusion,n,исключение,,,
exclusive,adj,"эксклюзивный, исключительный",,,
exclusively,adv,исключительно,,,
execute,v,"казнить, исполнять",,,
execution,n,"казнь, исполнение",,,
exert,v,"оказывать (влияние), прилагать",,,
exile,n,"изгнание, изгнанник",,,
expenditure,n,расходы,,,
experimental,adj,экспериментальный,,,
expire,v,истекать (о сроке),,,
explicit,adj,"явный, откровенный",,,
explicitly,adv,"явно, прямо",,,
exploitation,n,эксплуатация,,,
explosive,n,взрывчатка,,,
explosive,adj,взрывной,,,
extremist,n,экстремист,,,
facilitate,v,"содействовать, облегчать",,,
faction,n,фракция,,,
fade,v,"увядать, исчезать",,,
fairness,n,справедливость,,,
fatal,adj,"смертельный, роковой",,,
fate,n,судьба,,,
favourable,adj,благоприятный,,,
feat,n,подвиг,,,
felony,n,тяжкое преступление,,,
feminist,n,феминист(ка),,,
feminist,adj,феминистский,,,
fibre,n,"волокно, клетчатка",,,
fierce,adj,"ожесточённый, свирепый",,,
filmmaker,n,кинорежиссёр,,,
filter,n,фильтр,,,
filter,v,фильтровать,,,
firearm,n,огнестрельное оружие,,,
fiscal,adj,"бюджетный, финансовый",,,
flaw,n,"изъян, недостаток",,,
flawed,adj,"несовершенный, ошибочный",,,
flee,v,"бежать, спасаться бегством",,,
fleet,n,"флот, автопарк",,,
flesh,n,"плоть, мякоть",,,
flexibility,n,гибкость,,,
flourish,v,процветать,,,
fluid,n,жидкость,,,
footage,n,видеоматериал,,,
foresee,v,предвидеть,,,
foreigner,n,иностранец,,,
forge,v,"ковать, подделывать",,,
formula,n,формула,,,
formulate,v,формулировать,,,
forth,adv,"вперёд, дальше",,,
forthcoming,adj,предстоящий,,,
foster,v,"способствовать, воспитывать",,,
fragile,adj,хрупкий,,,
franchise,n,франшиза,,,
frankly,adv,откровенно,,,
fraudulent,adj,мошеннический,,,
frustrating,adj,разочаровывающий,,,
frustration,n,"разочарование, фрустрация",,,
functional,adj,функциональный,,,
fundraising,n,сбор средств,,,
gambling,n,азартные игры,,,
gathering,n,собрание,,,
gaze,v,пристально смотреть,,,
gear,n,"снаряжение, механизм",,,
generic,adj,"общий, типовой",,,
genocide,n,геноцид,,,
glance,v,мельком взглянуть,,,
glimpse,n,"мелькание, проблеск",,,
glorious,adj,"славный, великолепный",,,
glory,n,слава,,,
governance,n,управление,,,
grace,n,"грация, милость",,,
grasp,v,"хватать, постигать",,,
grave,adj,"серьёзный, тяжкий",,,
gravity,n,"гравитация, серьёзность",,,
grid,n,"сеть, решётка",,,
grief,n,горе,,,
grin,v,ухмыляться,,,
grind,v,"молоть, шлифовать",,,
grip,n,хватка,,,
grip,v,"сжимать, захватывать",,,
gross,adj,"валовой, вопиющий",,,
guerrilla,n,партизан,,,
guidance,n,"руководство, наставление",,,
guilt,n,вина,,,
gut,n,"кишечник, чутьё",,,
hail,v,"приветствовать, окликать",,,
halfway,adv,на полпути,,,
halt,v,останавливать(ся),,,
handful,n,"горсть, горстка",,,
handling,n,"обращение, обработка",,,
handy,adj,"удобный, полезный",,,
harassment,n,"преследование, домогательство",,,
hardware,n,"оборудование, техника",,,
harmony,n,гармония,,,
harsh,adj,"суровый, резкий",,,
harvest,n,урожай,,,
harvest,v,собирать урожай,,,
hatred,n,ненависть,,,
haunt,v,"преследовать, являться",,,
hazard,n,"опасность, риск",,,
hence,adv,"поэтому, отсюда",,,
heighten,v,"усиливать, обострять",,,
heritage,n,наследие,,,
hierarchy,n,иерархия,,,
high-profile,adj,"громкий, заметный",,,
homeland,n,родина,,,
hopeful,adj,"надеющийся, многообещающий",,,
horizon,n,горизонт,,,
hostage,n,заложник,,,
hostile,adj,враждебный,,,
hostility,n,враждебность,,,
humanitarian,adj,гуманитарный,,,
humanity,n,"человечность, человечество",,,
humble,adj,"скромный, смиренный",,,
hydrogen,n,водород,,,
hypothesis,n,гипотеза,,,
identification,n,"идентификация, опознание",,,
ideological,adj,идеологический,,,
ideology,n,идеология,,,
ignorance,n,невежество,,,
imagery,n,"образы, символика",,,
immense,adj,огромный,,,
imminent,adj,"неизбежный, надвигающийся",,,
implementation,n,"внедрение, реализация",,,
imprison,v,заключать в тюрьму,,,
inability,n,неспособность,,,
inadequate,adj,"неадекватный, недостаточный",,,
inappropriate,adj,неуместный,,,
incarcerate,v,заключать в тюрьму,,,
incarceration,n,лишение свободы,,,
incidence,n,частота (случаев),,,
inclined,adj,склонный,,,
inclusion,n,включение,,,
incur,v,"навлечь на себя, понести",,,
indicator,n,показатель,,,
indictment,n,обвинительный акт,,,
indigenous,adj,коренной,,,
induce,v,"вызывать, побуждать",,,
indulge,v,"баловать, потакать",,,
inequality,n,неравенство,,,
infamous,adj,печально известный,,,
infect,v,заражать,,,
inflict,v,"причинять, наносить",,,
influential,adj,влиятельный,,,
infrastructure,n,инфраструктура,,,
inherent,adj,"неотъемлемый, присущий",,,
inhibit,v,"сдерживать, тормозить",,,
initiate,v,инициировать,,,
inject,v,"впрыскивать, вливать",,,
injection,n,инъекция,,,
injustice,n,несправедливость,,,
inmate,n,заключённый,,,
inquire,v,"спрашивать, наводить справки",,,
insertion,n,вставка,,,
insider,n,инсайдер,,,
inspect,v,"осматривать, инспектировать",,,
inspection,n,"проверка, инспекция",,,
inspiration,n,вдохновение,,,
instinct,n,инстинкт,,,
institutional,adj,институциональный,,,
instruct,v,"инструктировать, обучать",,,
instrumental,adj,"ключевой, инструментальный",,,
insufficient,adj,недостаточный,,,
insult,n,оскорбление,,,
insult,v,оскорблять,,,
intact,adj,"нетронутый, неповреждённый",,,
intake,n,"потребление, приём",,,
integral,adj,неотъемлемый,,,
integrated,adj,интегрированный,,,
integration,n,интеграция,,,
integrity,n,"честность, целостность",,,
intensify,v,усиливать(ся),,,
intensity,n,интенсивность,,,
intensive,adj,интенсивный,,,
intent,n,намерение,,,
interactive,adj,интерактивный,,,
interface,n,интерфейс,,,
interfere,v,вмешиваться,,,
interference,n,вмешательство,,,
interim,adj,"промежуточный, временный",,,
interior,n,"внутренность, интерьер",,,
interior,adj,внутренний,,,
intermediate,adj,промежуточный,,,
intersection,n,"перекрёсток, пересечение",,,
intervene,v,вмешиваться,,,
intervention,n,вмешательство,,,
intimate,adj,"близкий, интимный",,,
intriguing,adj,интригующий,,,
inventory,n,"инвентарь, опись",,,
investigator,n,следователь,,,
invisible,adj,невидимый,,,
invoke,v,"призывать, ссылаться на",,,
involvement,n,"вовлечённость, участие",,,
ironic,adj,ироничный,,,
ironically,adv,по иронии,,,
irony,n,ирония,,,
irrelevant,adj,"неуместный, нерелевантный",,,
isolation,n,изоляция,,,
judicial,adj,судебный,,,
jurisdiction,n,юрисдикция,,,
just,adj,справедливый,,,
justification,n,обоснование,,,
landlord,n,"арендодатель, домовладелец",,,
landmark,n,"ориентир, достопримечательность",,,
lap,n,колени,,,
large-scale,adj,масштабный,,,
latter,adj,последний (из упомянутых),,,
lawmaker,n,законодатель,,,
lawn,n,газон,,,
lawsuit,n,судебный иск,,,
layout,n,"макет, планировка",,,
leak,n,утечка,,,
leak,v,"протекать, просачиваться",,,
leap,v,"прыгать, резко возрастать",,,
legacy,n,наследие,,,
legendary,adj,легендарный,,,
legislation,n,законодательство,,,
legislative,adj,законодательный,,,
legislature,n,законодательный орган,,,
legitimate,adj,"законный, обоснованный",,,
lengthy,adj,"длительный, затяжной",,,
lesbian,adj,лесбийский,,,
lesbian,n,лесбиянка,,,
lesser,adj,меньший,,,
lethal,adj,смертельный,,,
liable,adj,"ответственный, подверженный",,,
liability,n,"ответственность, обязательство",,,
liberal,adj,либеральный,,,
liberal,n,либерал,,,
liberation,n,освобождение,,,
liberty,n,свобода,,,
lifelong,adj,пожизненный,,,
likelihood,n,вероятность,,,
limb,n,конечность,,,
linear,adj,линейный,,,
line-up,n,"состав, линейка",,,
linger,v,"задерживаться, медлить",,,
listing,n,"список, листинг",,,
literacy,n,грамотность,,,
lobby,n,"лобби, вестибюль",,,
lobby,v,лоббировать,,,
logic,n,логика,,,
long-standing,adj,"давний, многолетний",,,
long-time,adj,давний,,,
loom,v,"маячить, нависать",,,
loop,n,"петля, цикл",,,
loyalty,n,"верность, лояльность",,,
machinery,n,"механизмы, аппарат",,,
magical,adj,волшебный,,,
magnetic,adj,магнитный,,,
magnitude,n,"величина, масштаб",,,
mainland,n,материк,,,
mainstream,n,мейнстрим,,,
mainstream,adj,"основной, массовый",,,
maintenance,n,"обслуживание, содержание",,,
mandate,n,"мандат, полномочия",,,
mandatory,adj,обязательный,,,
manifest,v,проявлять(ся),,,
manipulate,v,манипулировать,,,
manipulation,n,манипуляция,,,
manuscript,n,рукопись,,,
march,n,"марш, шествие",,,
march,v,маршировать,,,
marginal,adj,"незначительный, маргинальный",,,
marine,adj,морской,,,
marketplace,n,"рынок, торговая площадка",,,
massacre,n,резня,,,
mathematical,adj,математический,,,
mature,adj,зрелый,,,
maximise,v,максимизировать,,,
meaningful,adj,"значимый, осмысленный",,,
meantime,n,промежуток времени,,,
medieval,adj,средневековый,,,
meditation,n,медитация,,,
melody,n,мелодия,,,
memo,n,"записка, служебное письмо",,,
memoir,n,мемуары,,,
memorial,n,"памятник, мемориал",,,
mentor,n,наставник,,,
merchant,n,"купец, торговец",,,
mercy,n,"милосердие, пощада",,,
mere,adj,"всего лишь, простой",,,
merely,adv,"лишь, всего лишь",,,
merge,v,объединять(ся),,,
merger,n,слияние,,,
merit,n,"достоинство, заслуга",,,
in the midst of,prep,"посреди, в разгар",,,
migration,n,миграция,,,
militant,n,боевик,,,
militant,adj,воинствующий,,,
militia,n,ополчение,,,
minimal,adj,минимальный,,,
minimise,v,минимизировать,,,
mining,n,добыча полезных ископаемых,,,
ministry,n,министерство,,,
minute,adj,крошечный,,,
miracle,n,чудо,,,
misery,n,"страдание, нищета",,,
misleading,adj,вводящий в заблуждение,,,
mismanagement,n,плохое управление,,,
missile,n,ракета,,,
mob,n,толпа,,,
mobility,n,мобильность,,,
mobilise,v,мобилизовать,,,
moderate,adj,умеренный,,,
modification,n,"изменение, доработка",,,
module,n,модуль,,,
momentum,n,"импульс, динамика",,,
monk,n,монах,,,
monopoly,n,монополия,,,
morality,n,"мораль, нравственность",,,
motive,n,мотив,,,
municipal,adj,муниципальный,,,
mutual,adj,взаимный,,,
naive,adj,наивный,,,
namely,adv,а именно,,,
nationwide,adj,общенациональный,,,
nationwide,adv,по всей стране,,,
naval,adj,военно-морской,,,
neglect,v,"пренебрегать, забрасывать",,,
neighbouring,adj,соседний,,,
newsletter,n,информационный бюллетень,,,
niche,n,ниша,,,
noble,adj,благородный,,,
nod,v,кивать,,,
nominate,v,"выдвигать, назначать",,,
nomination,n,"выдвижение, номинация",,,
nominee,n,"кандидат, номинант",,,
nonetheless,adv,тем не менее,,,
non-profit,adj,некоммерческий,,,
nonsense,n,ерунда,,,
norm,n,норма,,,
notable,adj,примечательный,,,
notably,adv,"особенно, в частности",,,
notify,v,уведомлять,,,
notorious,adj,печально известный,,,
nursery,n,"ясли, питомник",,,
objection,n,возражение,,,
oblige,v,"обязывать, оказывать услугу",,,
obsess,v,овладевать (мыслями),,,
obsession,n,"наваждение, одержимость",,,
occasional,adj,"случайный, временами",,,
occurrence,n,"случай, явление",,,
odds,n,шансы,,,
offering,n,предложение,,,
offspring,n,потомство,,,
operational,adj,"операционный, действующий",,,
opt,v,выбирать,,,
optimism,n,оптимизм,,,
oral,adj,устный,,,
organisational,adj,организационный,,,
orientation,n,ориентация,,,
originate,v,"зарождаться, возникать",,,
outbreak,n,"вспышка, начало",,,
outing,n,"вылазка, прогулка",,,
outlet,n,"торговая точка, выход",,,
outlook,n,"взгляд, перспектива",,,
outrage,n,возмущение,,,
outsider,n,аутсайдер,,,
overlook,v,"не замечать, упускать",,,
overly,adv,чрезмерно,,,
oversee,v,"контролировать, наблюдать",,,
overturn,v,"опрокидывать, отменять",,,
overwhelm,v,"подавлять, переполнять",,,
overwhelming,adj,подавляющий,,,
parameter,n,параметр,,,
parental,adj,родительский,,,
partial,adj,частичный,,,
partially,adv,частично,,,
passing,n,"прохождение, уход из жизни",,,
passing,adj,мимолётный,,,
passive,adj,пассивный,,,
pastor,n,пастор,,,
patent,n,патент,,,
pathway,n,"путь, дорожка",,,
patrol,n,патруль,,,
patrol,v,патрулировать,,,
patron,n,"покровитель, клиент",,,
peak,n,"пик, вершина",,,
peasant,n,крестьянин,,,
peculiar,adj,"своеобразный, странный",,,
persist,v,"настаивать, сохраняться",,,
persistent,adj,"настойчивый, устойчивый",,,
personnel,n,персонал,,,
petition,n,петиция,,,
philosopher,n,философ,,,
philosophical,adj,философский,,,
pioneer,n,первопроходец,,,
pipeline,n,трубопровод,,,
pit,n,яма,,,
plausible,adj,правдоподобный,,,
plea,n,"мольба, обращение",,,
plead,v,"умолять, заявлять",,,
pledge,n,"обещание, залог",,,
pledge,v,"обещать, закладывать",,,
plunge,n,"резкое падение, погружение",,,
plunge,v,"погружаться, резко падать",,,
pole,n,"полюс, столб",,,
poll,n,"опрос, голосование",,,
portfolio,n,портфель,,,
portray,v,"изображать, описывать",,,
postpone,v,откладывать,,,
post-war,adj,послевоенный,,,
practitioner,n,"специалист, практик",,,
preach,v,проповедовать,,,
precede,v,предшествовать,,,
precedent,n,прецедент,,,
precision,n,точность,,,
predator,n,хищник,,,
predecessor,n,предшественник,,,
predominantly,adv,преимущественно,,,
pregnancy,n,беременность,,,
prejudice,n,"предрассудок, предубеждение",,,
preliminary,adj,предварительный,,,
premier,n,премьер-министр,,,
premise,n,предпосылка,,,
premium,n,"премия, надбавка",,,
prescribe,v,"предписывать, назначать",,,
prescription,n,"рецепт, предписание",,,
presently,adv,в настоящее время,,,
preservation,n,сохранение,,,
preside,v,председательствовать,,,
presidency,n,президентство,,,
prestigious,adj,престижный,,,
presumably,adv,предположительно,,,
presume,v,предполагать,,,
prevail,v,"преобладать, возобладать",,,
prevalence,n,распространённость,,,
prevention,n,"предотвращение, профилактика",,,
prey,n,добыча,,,
privatization,n,приватизация,,,
privilege,n,привилегия,,,
probe,n,"расследование, зонд",,,
probe,v,"расследовать, зондировать",,,
problematic,adj,проблематичный,,,
proceeding,n,"разбирательство, протокол",,,
proceeds,n,выручка,,,
processing,n,обработка,,,
processor,n,процессор,,,
proclaim,v,провозглашать,,,
productive,adj,продуктивный,,,
productivity,n,производительность,,,
profitable,adj,прибыльный,,,
profound,adj,"глубокий, глубокомысленный",,,
projection,n,"прогноз, проекция",,,
prominent,adj,"видный, выдающийся",,,
pronounced,adj,ярко выраженный,,,
propaganda,n,пропаганда,,,
proposition,n,"предложение, утверждение",,,
prosecute,v,преследовать в судебном порядке,,,
prosecution,n,"обвинение, преследование",,,
prosecutor,n,"прокурор, обвинитель",,,
prospective,adj,"будущий, потенциальный",,,
prosperity,n,процветание,,,
protective,adj,защитный,,,
protocol,n,протокол,,,
province,n,провинция,,,
provincial,adj,провинциальный,,,
provision,n,"обеспечение, положение",,,
provoke,v,провоцировать,,,
psychiatric,adj,психиатрический,,,
pulse,n,пульс,,,
query,n,"запрос, вопрос",,,
quest,n,"поиск, стремление",,,
quota,n,квота,,,
radical,adj,радикальный,,,
rage,n,ярость,,,
raid,n,"набег, обыск",,,
raid,v,совершать набег,,,
rally,n,"митинг, ралли",,,
rally,v,"собирать(ся), сплачивать",,,
ranking,n,рейтинг,,,
rape,n,изнасилование,,,
rape,v,изнасиловать,,,
ratio,n,соотношение,,,
rational,adj,рациональный,,,
ray,n,луч,,,
readily,adv,"охотно, без труда",,,
realization,n,"осознание, реализация",,,
realm,n,"область, царство",,,
rear,n,задняя часть,,,
rear,adj,задний,,,
reasoning,n,рассуждение,,,
reassure,v,успокаивать,,,
rebel,n,повстанец,,,
rebellion,n,восстание,,,
recipient,n,получатель,,,
reconstruction,n,реконструкция,,,
recount,v,"пересказывать, пересчитывать",,,
recruitment,n,"набор, вербовка",,,
referendum,n,референдум,,,
reflection,n,"отражение, размышление",,,
reform,n,реформа,,,
reform,v,реформировать,,,
refuge,n,убежище,,,
refusal,n,отказ,,,
regain,v,"возвращать, восстанавливать",,,
regardless,adv,несмотря ни на что,,,
regime,n,режим,,,
regulator,n,регулятор,,,
regulatory,adj,регулирующий,,,
rehabilitation,n,реабилитация,,,
reign,n,правление,,,
reign,v,править,,,
rejection,n,"отказ, отторжение",,,
relevance,n,"актуальность, уместность",,,
reliability,n,надёжность,,,
reluctant,adj,"неохотный, нежелательный",,,
remainder,n,остаток,,,
remains,n,"останки, остатки",,,
remedy,n,"средство, лекарство",,,
reminder,n,напоминание,,,
removal,n,"удаление, вывоз",,,
render,v,"делать, оказывать, отображать",,,
renew,v,"возобновлять, продлевать",,,
renowned,adj,знаменитый,,,
rental,n,аренда,,,
replacement,n,замена,,,
reportedly,adv,по сообщениям,,,
representation,n,"представление, представительство",,,
reproduce,v,воспроизводить,,,
reproduction,n,"воспроизведение, размножение",,,
republic,n,республика,,,
resemble,v,"напоминать, быть похожим",,,
reside,v,проживать,,,
residence,n,"резиденция, место жительства",,,
residential,adj,жилой,,,
residue,n,"остаток, осадок",,,
resignation,n,отставка,,,
resistance,n,сопротивление,,,
respective,adj,"соответствующий, соответственно",,,
respectively,adv,соответственно,,,
restoration,n,"восстановление, реставрация",,,
restraint,n,"сдержанность, ограничение",,,
resume,v,возобновлять,,,
retreat,n,отступление,,,
retreat,v,отступать,,,
retrieve,v,"извлекать, восстанавливать",,,
revelation,n,откровение,,,
revenge,n,месть,,,
reverse,v,"разворачивать, отменять",,,
revival,n,возрождение,,,
revive,v,"оживлять, возрождать",,,
revolutionary,adj,революционный,,,
revolutionary,n,революционер,,,
rhetoric,n,риторика,,,
riot,n,бунт,,,
rip,v,рвать,,,
ritual,n,ритуал,,,
robust,adj,"надёжный, крепкий",,,
rod,n,"прут, стержень",,,
rookie,n,новичок,,,
roster,n,"список, график",,,
rotate,v,"вращать(ся), чередовать",,,
rotation,n,"вращение, ротация",,,
ruling,n,"решение, постановление",,,
ruling,adj,правящий,,,
rumour,n,слух,,,
sacred,adj,священный,,,
sacrifice,n,жертва,,,
sacrifice,v,жертвовать,,,
saint,n,святой,,,
sake,n,ради (для),,,
sanction,n,санкция,,,
saviour,n,спаситель,,,
scenario,n,сценарий,,,
scattered,adj,"разбросанный, рассеянный",,,
scope,n,"охват, рамки",,,
screw,n,винт,,,
screw,v,завинчивать,,,
scrutiny,n,тщательная проверка,,,
